Title,Trips,Performed,Unperformed,Advance Cancels,Driver Canceles,Trip Revenue,Total Revenue,Revenue Per Mile,Revenue Per Capacitated Mile,Total Miles,Capacitated Miles,Empty Miles
Avantara (PP-E) - Long Grove,11,11,0,0,0,"1,036.00","1,036.00",4.73,11.20,218.90,92.50,126.40
Dimensions Living (PP) - Prospect Heights,12,11,1,1,0,848.00,848.00,4.63,10.65,183.20,79.60,103.60
Asbury Court  (Fac-A) - Des Plaines,35,30,5,5,3,"2,478.00","2,478.00",3.34,6.14,741.40,403.90,337.50
Niles Nursing (PP-E),1,1,0,0,0,175.00,175.00,5.29,6.81,33.10,25.70,7.40
MIMIT (Fac),20,18,2,2,2,"1,617.00","1,617.00",2.55,4.76,633.70,339.70,294.00
Avantara (Fac)  - Elgin,18,18,0,0,0,912.00,912.00,4.43,11.71,206.10,77.90,128.20
West Sub (Fac-E) - Bloomingdale,47,40,7,7,1,"2,631.00","2,631.00",3.31,7.57,794.60,347.70,446.90
The Pearl (Fac-E) - Rolling Meadows,10,9,1,1,1,454.00,454.00,2.90,8.02,156.80,56.60,100.20
Alden (Fac-A) - Naperville,7,7,0,0,0,474.00,474.00,3.24,10.11,146.50,46.90,99.60
Meadowbrook (PP-E) - Bollingbrook,11,10,1,1,1,780.00,780.00,3.03,8.42,257.80,92.60,165.20
Avondale (Fac-A) - Elgin,5,5,0,0,0,263.00,263.00,7.67,11.00,34.30,23.90,10.40
Lutheran Home (Fac-E) - Arl Hts,4,4,0,0,0,266.00,266.00,3.53,7.78,75.40,34.20,41.20
Lee Manor (PP-E) - Des Plaines,28,24,4,4,2,"1,890.00","1,890.00",5.03,12.49,376.00,151.30,224.70
Manor Care (Fac-E) - Libertyville,16,15,1,1,1,"1,024.00","1,024.00",2.88,5.83,355.90,175.50,180.40
Alden (PP-A) - Huntley,114,101,13,13,1,"9,656.00","9,656.00",4.34,8.94,"2,223.80","1,080.30","1,143.50"
Alden (PP-A) - Barrington ,12,12,0,0,0,"1,040.00","1,040.00",3.97,9.08,262.00,114.60,147.40
Oakton Nursing Pavilion (PP) - Des Plaines,31,27,4,4,0,"1,728.00","1,728.00",3.84,8.98,450.40,192.50,257.90
Meadowbrook (PP-E) - Naperville,12,12,0,0,0,"1,032.00","1,032.00",3.05,6.88,338.50,150.00,188.50
St Patricks (PP-E) - Naperville,37,31,6,6,1,"2,118.00","2,118.00",2.86,10.35,741.50,204.70,536.80
Citadel (PP) - Northbrook,4,4,0,0,0,270.00,270.00,3.44,32.93,78.40,8.20,70.20
Citadel (PP) - Elgin,5,5,0,0,0,524.00,524.00,4.42,8.88,118.50,59.00,59.50
Alden (PP-A) - Naperville,1,1,0,0,0,120.00,120.00,2.66,19.05,45.10,6.30,38.80
Health Bridge (PP-E) - Arl Hts,4,4,0,0,0,194.00,194.00,5.61,19.80,34.60,9.80,24.80
Symphony (PP-E) - Buf Grove,10,10,0,0,0,931.00,931.00,7.34,14.11,126.80,66.00,60.80
Oakton Nursing Pavilion (Fac) - Des Plaines,37,32,5,5,2,"1,597.00","1,597.00",3.49,13.43,457.60,118.90,338.70
Elevate Care (PP-E) - Riverwoods,9,8,1,1,1,748.00,748.00,3.96,6.47,188.90,115.60,73.30
Fresenius Corp Office (Fac),2,2,0,0,0,122.00,122.00,5.17,24.40,23.60,5.00,18.60
Lexington (PP-A) - Schaumburg,2,2,0,0,0,242.00,242.00,5.38,8.64,45.00,28.00,17.00
Asbury Court (PP-A) - Des Plaines,2,2,0,0,0,176.00,176.00,3.58,6.77,49.10,26.00,23.10
Meadowbrook (Fac-E) - Naperville,6,6,0,0,0,444.00,444.00,1.96,6.22,226.90,71.40,155.50
Clare Oaks (Fac-A) - Bartlett,8,7,1,1,0,661.50,661.50,3.06,7.02,216.50,94.20,122.30
Aperion Plum Grove (Fac) - Palatine,8,8,0,0,0,470.00,470.00,2.98,10.35,157.70,45.40,112.30
Alden (PP-A) - Long Grove,3,3,0,0,0,250.00,250.00,5.95,11.31,42.00,22.10,19.90
Clare Oaks (PP-A) - Bartlett,6,6,0,0,0,568.00,568.00,3.55,7.21,159.80,78.80,81.00
Warren Barr (PP-E) - Lincolnshire,1,1,0,0,0,92.00,92.00,2.38,4.16,38.60,22.10,16.50
Meadowbrook (Fac-E) - LaGrange,4,4,0,0,0,212.00,212.00,3.09,12.33,68.50,17.20,51.30
Warren Barr WELLSHIRE (PP-E) - Lincolnshire,1,1,0,0,0,90.00,90.00,5.08,9.68,17.70,9.30,8.40
Aperion (FAC) - Elgin,2,1,1,1,1,0.00,0.00,0.00,0.00,1.00,0.00,1.00
